,study_mean,phone_mean,delta_study_minus_phone
mfcc1,-7.638105664048422,-1.5923749867241033,-6.045730677324318
mfcc2,30.131429130879056,26.63066718941496,3.500761941464095
mfcc3,-19.831323493900644,-34.37099449495688,14.539671001056238
mfcc4,-2.304743621814647,-26.692607327852947,24.3878637060383
mfcc5,-9.795374748513552,9.23962166581013,-19.034996414323683
mfcc6,-25.72570512668704,-24.85525054488476,-0.870454581802278
mfcc7,-10.40280169648402,-22.99134448904365,12.58854279255963
mfcc8,-15.255077687150989,-17.715681677020623,2.460603989869634
mfcc9,-25.405004080307677,-12.609905043411624,-12.795099036896053
mfcc10,-8.860984924370293,-18.243123572547557,9.382138648177264
mfcc11,0.836280925506112,4.418624511944239,-3.5823435864381272
mfcc12,0.2295874409099484,2.044655329454034,-1.8150678885440856
mfcc13,-4.097942589690539,10.359407339935906,-14.457349929626446
mfcc14,1.280623187555493e-18,4.898762732146675e-18,-3.6181395445911816e-18
mfcc15,-4.8354565185285e-18,-1.718659001492986e-18,-3.1167975170355136e-18
mfcc16,2.111065618566096e-18,-1.3715658783173194e-18,3.482631496883415e-18
mfcc17,-7.826030590616903e-19,2.078174404866519e-18,-2.8607774639282092e-18
mfcc18,-9.003615130897816e-19,2.9214280135922443e-18,-3.821789526682026e-18
mfcc19,-2.3404492738083153e-18,-4.580167781189642e-18,2.2397185073813264e-18
mfcc20,2.5121803525992813e-18,1.364989377036096e-18,1.1471909755631853e-18
mfcc21,2.3036497569245365e-18,4.325876398315679e-19,1.8710621170929685e-18
mfcc22,-1.270809983053152e-18,1.9875648316585557e-19,-1.4695664662190076e-18
mfcc23,2.7625128994841935e-18,-1.6017434231601298e-18,4.3642563226443235e-18
mfcc24,-9.935869558620205e-20,6.459585702890306e-19,-7.453172658752326e-19
mfcc25,-3.43462157581933e-19,-5.078520433833441e-19,1.6438988580141107e-19
mfcc26,-3.9804810762620453e-19,-6.971091358096551e-19,2.9906102818345053e-19
mfcc27,2.453301125585236e-21,2.9228894583214053e-20,-2.6775593457628818e-20
mfcc28,1.312516102188101e-19,-5.8457789166428084e-21,1.3709738913545292e-19
mfcc29,-6.838576887568844e-19,6.653227129504099e-19,-1.3491804017072943e-18
mfcc30,-1.3370491134439535e-19,6.3280556772658425e-19,-7.665104790709796e-19
mfcc31,-3.557286632098592e-20,2.0533298444707868e-19,-2.409058507680646e-19
mfcc32,2.551433170608645e-19,4.5304786603981775e-20,2.0983853045688274e-19
mfcc33,1.9135748779564841e-19,-9.499390739544567e-20,2.863513951910941e-19
mfcc34,2.575966181864497e-20,2.396769355823552e-19,-2.1391727376371024e-19
mfcc35,-1.5701127203745508e-19,1.6426638755766294e-18,-1.7996751476140847e-18
mfcc36,-9.016360796901833e-19,5.728863338309953e-19,-1.4745224135211787e-18
mfcc37,-2.741564007841501e-19,8.754053927672608e-19,-1.149561793551411e-18
mfcc38,-2.6372987100041285e-19,2.287161001136499e-19,-4.924459711140628e-19
mfcc39,-1.2971829701531933e-19,3.807063519463629e-19,-5.104246489616823e-19
